City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
110,maymana,35.9214,64.7836,28.28,17,0,0.54,AF,2023-07-16 02:32:40
111,ribeira grande,38.5167,-28.7,19.32,88,98,3.58,PT,2023-07-16 02:32:41
112,nikel,69.4128,30.222,13.1,88,18,2.28,RU,2023-07-16 02:32:41
113,argamasilla de alba,39.036,-2.9916,22.25,36,0,1.63,ES,2023-07-16 02:32:41
114,namtsy,62.7161,129.6658,16.79,40,51,4.7,RU,2023-07-16 02:32:42
115,sandnessjoen,66.0217,12.6316,11.29,71,100,8.45,NO,2023-07-16 02:22:58
116,huetamo de nunez,18.5833,-100.8833,27.88,59,19,0.28,MX,2023-07-16 02:32:42
117,thompson,55.7435,-97.8558,10.09,93,100,3.09,CA,2023-07-16 02:32:42
118,vila franca do campo,37.7167,-25.4333,20.23,79,91,2.98,PT,2023-07-16 02:32:43
119,broome,42.2506,-75.833,23.54,92,100,1.98,US,2023-07-16 02:32:43
120,newman,37.3138,-121.0208,38.19,16,1,1.87,US,2023-07-16 02:32:43
121,sitia,35.2,26.0986,27.09,71,0,6.92,GR,2023-07-16 02:32:43
122,saynshand,44.8824,110.1163,27.51,17,0,4.6,MN,2023-07-16 02:22:20
123,urangan,-25.3,152.9,19.99,69,100,4.8,AU,2023-07-16 02:32:44
124,gamba,-2.65,10.0,19.65,96,16,1.41,GA,2023-07-16 02:32:44
125,utrik,11.2278,169.8474,28.56,74,44,6.23,MH,2023-07-16 02:32:45
126,vadso,70.0744,29.7487,13.49,94,100,0.51,NO,2023-07-16 02:32:45
127,canchungo,12.0672,-16.0333,24.5,91,91,1.56,GW,2023-07-16 02:32:46
128,ta`u,-14.2336,-169.5144,26.87,77,56,7.24,AS,2023-07-16 02:32:46
129,qaqortoq,60.7167,-46.0333,6.39,91,100,0.62,GL,2023-07-16 02:32:46
130,black point,-34.6187,137.8972,12.39,65,0,1.94,AU,2023-07-16 02:32:46
131,mananjary,-21.2167,48.3333,18.03,68,2,1.07,MG,2023-07-16 02:22:48
132,svetlyy,54.675,20.1347,17.76,66,90,4.61,RU,2023-07-16 02:32:47
133,dunda,-8.1167,34.25,11.95,76,3,1.13,TZ,2023-07-16 02:32:47
134,enriquillo,17.9,-71.2333,26.63,88,52,5.68,DO,2023-07-16 02:32:47
135,aasiaat,68.7098,-52.8699,2.69,96,100,3.86,GL,2023-07-16 02:32:48
136,luena,-11.7833,19.9167,16.1,51,0,3.6,AO,2023-07-16 02:32:48
137,west island,-12.1568,96.8225,25.99,73,75,7.2,CC,2023-07-16 02:32:48
138,general jose de san martin,-26.5374,-59.3416,13.87,69,99,1.39,AR,2023-07-16 02:32:49
139,rio grande,-32.035,-52.0986,7.75,84,100,2.57,BR,2023-07-16 02:32:49
140,barra do garcas,-15.89,-52.2567,20.96,49,9,0.82,BR,2023-07-16 02:32:49
141,kodiak,57.79,-152.4072,12.73,94,100,3.09,US,2023-07-16 02:28:41
142,laguna,38.421,-121.4238,41.41,26,0,2.57,US,2023-07-16 02:21:01
143,lihue,21.9789,-159.3672,28.77,70,100,8.23,US,2023-07-16 02:32:19
144,morehead city,34.7229,-76.726,28.34,90,0,7.72,US,2023-07-16 02:32:50
145,vallenar,-28.5708,-70.7581,14.27,43,1,0.47,CL,2023-07-16 02:31:25
146,n'dalatando,-9.2978,14.9116,17.3,60,0,0.56,AO,2023-07-16 02:32:51
147,nueva gerona,21.8833,-82.8,28.59,72,14,1.17,CU,2023-07-16 02:32:51
148,susuman,62.7833,148.1667,25.47,46,53,5.6,RU,2023-07-16 02:32:52
149,vylkove,45.4021,29.586,20.76,63,0,2.3,UA,2023-07-16 02:32:52
150,zheleznogorsk-ilimskiy,56.5768,104.1217,25.64,48,66,1.37,RU,2023-07-16 02:32:52
151,papao,-17.75,-149.55,27.82,59,0,1.78,PF,2023-07-16 02:23:04
152,iskateley,67.6803,53.1512,19.9,59,12,2.72,RU,2023-07-16 02:32:53
153,acapulco de juarez,16.8634,-99.8901,29.9,79,75,5.14,MX,2023-07-16 02:32:53
154,praia da vitoria,38.7333,-27.0667,20.14,83,75,5.21,PT,2023-07-16 02:32:54
155,sommerda,51.15,11.1,20.56,92,96,5.18,DE,2023-07-16 02:32:54
156,gadzhiyevo,69.2551,33.3362,12.5,98,95,1.87,RU,2023-07-16 02:22:58
157,tukrah,32.5341,20.5791,25.55,75,0,4.29,LY,2023-07-16 02:32:55
158,xuchang,34.0167,113.8167,31.51,44,0,3.61,CN,2023-07-16 02:29:50
159,seydi,39.4816,62.9137,30.91,16,16,5.61,TM,2023-07-16 02:32:56
160,chibougamau,49.9168,-74.3659,21.79,64,100,4.12,CA,2023-07-16 02:31:01
161,elesbao veloso,-6.2019,-42.1403,24.7,38,43,2.16,BR,2023-07-16 02:32:57
162,la passe,45.5549,-0.8967,18.32,70,33,4.52,FR,2023-07-16 02:32:57
163,taybad,34.74,60.7756,29.29,16,0,7.09,IR,2023-07-16 02:32:57
164,tateyama,34.9833,139.8667,26.49,84,99,10.36,JP,2023-07-16 02:32:59
165,hami,42.8,93.45,38.65,8,6,3.22,CN,2023-07-16 02:32:59
166,salapungan,15.1337,120.929,25.82,84,100,6.18,PH,2023-07-16 02:33:00
167,urumqi,43.801,87.6005,29.53,25,0,2.0,CN,2023-07-16 02:28:25
168,carnarvon,-24.8667,113.6333,19.09,31,0,3.41,AU,2023-07-16 02:33:01
169,punta arenas,-53.15,-70.9167,0.06,86,0,10.29,CL,2023-07-16 02:28:11
170,agde,43.3108,3.4758,23.02,58,0,4.63,FR,2023-07-16 02:33:01
171,road town,18.4167,-64.6167,29.02,79,40,4.63,VG,2023-07-16 02:33:02
172,fortaleza,-3.7227,-38.5247,28.07,74,75,5.66,BR,2023-07-16 02:30:21
173,kavaratti,10.5669,72.642,28.13,78,100,6.66,IN,2023-07-16 02:31:18
174,sinabang,2.4803,96.3801,28.39,71,87,0.52,ID,2023-07-16 02:33:02
175,saint-joseph,-21.3667,55.6167,21.21,85,70,7.32,RE,2023-07-16 02:33:03
176,san patricio,28.017,-97.5169,30.09,73,99,6.32,US,2023-07-16 02:28:37
177,novodvinsk,64.4165,40.8122,17.11,73,97,1.23,RU,2023-07-16 02:33:05
178,hadibu,12.65,54.0333,25.4,80,64,10.85,YE,2023-07-16 02:33:05
179,weligama,5.9667,80.4167,28.31,80,44,5.4,LK,2023-07-16 02:33:05
180,hounde,11.5,-3.5167,23.86,81,100,1.52,BF,2023-07-16 02:33:06
181,kalmunai,7.4167,81.8167,30.07,64,38,3.4,LK,2023-07-16 02:33:06
182,khandyga,62.6667,135.6,18.89,39,75,1.74,RU,2023-07-16 02:33:06
183,cadale,2.7603,46.3222,25.3,79,72,8.75,SO,2023-07-16 02:33:07
184,ceerigaabo,10.6162,47.368,15.77,80,31,8.59,SO,2023-07-16 02:33:07
185,hithadhoo,-0.6,73.0833,27.79,74,1,1.06,MV,2023-07-16 02:28:14
186,baukau,51.5526,7.2042,19.47,77,1,2.68,DE,2023-07-16 02:33:07
187,cabo san lucas,22.8909,-109.9124,32.61,62,0,3.09,MX,2023-07-16 02:28:49
188,staroyur'yevo,53.3161,40.7081,13.19,94,63,3.81,RU,2023-07-16 02:33:08
189,kone,-21.0595,164.8658,24.83,44,9,4.91,NC,2023-07-16 02:33:09
190,kannangad,12.3081,75.1063,26.71,81,100,1.8,IN,2023-07-16 02:33:09
191,puerto natales,-51.7236,-72.4875,-1.22,88,39,2.68,CL,2023-07-16 02:31:20
